fitness max,fitness min,fitness mean
0.369385,0.097368,0.194988
0.412518,0.081727,0.206583
0.442142,0.105211,0.225693
0.412518,0.113551,0.243764
0.447109,0.091613,0.255478
0.44895,0.123441,0.272445
0.450269,0.10292,0.274148
0.487631,0.140438,0.289607
0.487631,0.138885,0.296328
0.492434,0.151369,0.306571
0.497848,0.133908,0.315117
0.502444,0.162386,0.32878
0.548748,0.152476,0.337039
0.548748,0.17602,0.351858
0.548748,0.192955,0.355131
0.550607,0.158683,0.372394
0.572027,0.16831,0.387854
0.583308,0.221751,0.406914
0.583308,0.192152,0.417962
0.596088,0.222802,0.422539
0.611111,0.255393,0.430169
0.611111,0.232285,0.437655
0.624375,0.245321,0.449901
0.624375,0.222501,0.45926
0.624375,0.273502,0.465851
0.631266,0.251391,0.468435
0.631266,0.279942,0.483947
0.665554,0.279942,0.493717
0.667723,0.260125,0.493825
0.667723,0.269801,0.504192
0.667723,0.291691,0.515279
0.670261,0.337,0.51603
0.686018,0.345889,0.523863
0.692329,0.326045,0.526206
0.692329,0.336163,0.527992
0.692329,0.349325,0.535742
0.692329,0.377571,0.541064
0.692329,0.353222,0.539248
0.692329,0.358912,0.553394
0.692329,0.360457,0.557096
0.692329,0.323199,0.559368
0.692329,0.313593,0.563535
0.692329,0.403488,0.567528
0.692329,0.355183,0.573725
0.697561,0.404699,0.575014
0.697561,0.383806,0.572685
0.697561,0.397237,0.575724
0.697561,0.412518,0.580439
0.697561,0.419458,0.586581
0.697561,0.442662,0.590529
0.697561,0.393904,0.586819
0.697561,0.423717,0.591061
0.694194,0.373461,0.58578
0.709258,0.354311,0.580442
0.709258,0.417963,0.589962
0.709258,0.380794,0.591356
0.710018,0.420957,0.596387
0.710018,0.420957,0.605912
0.710018,0.448687,0.596818
0.725743,0.410552,0.601478
0.725743,0.426492,0.597726
0.725743,0.388477,0.59903
0.725743,0.409082,0.606025
0.725743,0.420207,0.609391
0.725743,0.439027,0.612812
0.729231,0.365793,0.615823
0.729231,0.473168,0.616705
0.736249,0.456109,0.614995
0.736249,0.489322,0.622296
0.736249,0.430808,0.622411
0.736249,0.430808,0.62338
0.736249,0.420957,0.625649
0.736249,0.420957,0.627336
0.736249,0.482306,0.634688
0.736249,0.475095,0.632238
0.736249,0.399152,0.630037
0.736249,0.452386,0.635595
0.736249,0.444228,0.633755
0.736249,0.473718,0.633155
0.736249,0.480912,0.633974
0.745295,0.496419,0.637605
0.745295,0.480634,0.638512
0.745295,0.501004,0.640914
0.745295,0.44816,0.640493
0.745295,0.520871,0.64636
0.745295,0.496705,0.645334
0.745295,0.511153,0.645636
0.747273,0.443444,0.652623
0.745295,0.483144,0.654286
0.745295,0.473718,0.656073
0.745295,0.512616,0.658479
0.746086,0.490452,0.657117
0.746086,0.425229,0.652339
0.75403,0.547203,0.665617
0.75403,0.508237,0.664276
0.75403,0.508237,0.664496
0.75403,0.512909,0.660417
0.75403,0.453447,0.660052
0.75403,0.485663,0.667699
0.75403,0.486225,0.671677
