fitness max,fitness min,fitness mean
0.37872,0.112764,0.198613
0.354747,0.100749,0.203275
0.354747,0.082675,0.216486
0.354747,0.113026,0.2223
0.365123,0.121948,0.228341
0.423717,0.111289,0.235256
0.423717,0.123066,0.237197
0.423717,0.099717,0.242986
0.423717,0.099717,0.242986
0.423717,0.159257,0.258523
0.431573,0.106205,0.265408
0.431573,0.145714,0.274572
0.43593,0.124287,0.285497
0.43593,0.103326,0.290315
0.43593,0.17453,0.299957
0.444489,0.179789,0.303068
0.446059,0.163088,0.309475
0.446059,0.188439,0.315985
0.446059,0.197147,0.31988
0.475095,0.197147,0.327402
0.481191,0.16783,0.332476
0.481191,0.166992,0.338896
0.481191,0.234157,0.344277
0.481191,0.222651,0.344968
0.485383,0.166396,0.349337
0.512616,0.225371,0.351705
0.512616,0.21803,0.361373
0.515847,0.223555,0.362113
0.515847,0.222501,0.370996
0.515847,0.229191,0.371543
0.515847,0.234941,0.378045
0.533756,0.260466,0.381696
0.552782,0.255897,0.386947
0.552782,0.219512,0.38922
0.560605,0.266313,0.400034
0.582659,0.233532,0.40156
0.593448,0.287424,0.415787
0.593448,0.244348,0.421211
0.593448,0.250069,0.425314
0.593448,0.248752,0.427551
0.618906,0.235098,0.439476
0.604732,0.303445,0.430551
0.604732,0.272264,0.43256
0.604732,0.307316,0.439226
0.627124,0.304989,0.450336
0.627124,0.225522,0.458171
0.616186,0.288903,0.456282
0.616186,0.316172,0.4632
0.616186,0.320977,0.476736
0.615168,0.282116,0.485841
0.628502,0.353875,0.495532
0.630228,0.343756,0.495609
0.64523,0.28983,0.500603
0.64523,0.324823,0.509302
0.648052,0.334703,0.523271
0.658008,0.347604,0.529733
0.658008,0.304795,0.531399
0.658008,0.391537,0.539309
0.658008,0.417466,0.542973
0.673899,0.368035,0.544782
0.673899,0.321179,0.546616
0.673899,0.413997,0.550797
0.673899,0.42221,0.560887
0.673899,0.358912,0.557801
0.669898,0.401797,0.555355
0.677187,0.408838,0.559934
0.680121,0.396999,0.563874
0.680121,0.409327,0.563948
0.680121,0.401315,0.566417
0.677187,0.359794,0.563847
0.677187,0.427504,0.56649
0.677187,0.41672,0.568352
0.677187,0.370514,0.570003
0.677187,0.392482,0.567147
0.677187,0.385902,0.567334
0.677187,0.425986,0.567406
0.677187,0.425986,0.567406
0.677187,0.400112,0.573786
0.683433,0.394379,0.569912
0.685279,0.408838,0.576855
0.685279,0.384503,0.571806
0.692701,0.440582,0.574599
0.692701,0.440582,0.574599
0.692701,0.433875,0.573121
0.692701,0.434645,0.580089
0.692701,0.377571,0.584023
0.692701,0.449477,0.578633
0.692701,0.391773,0.578965
0.692701,0.391773,0.588384
0.691584,0.392719,0.582532
0.694194,0.405669,0.587031
0.694194,0.459857,0.586288
0.697186,0.373233,0.603218
0.697561,0.425986,0.603143
0.697561,0.458783,0.601961
0.718805,0.44475,0.601664
0.718805,0.431318,0.605501
0.718805,0.460125,0.61183
0.718805,0.482585,0.611411
0.718805,0.473168,0.616491
