fitness max,fitness min,fitness mean
0.364899, 0.089273, 0.196720
0.385435, 0.085015, 0.204061
0.410061, 0.082132, 0.212265
0.490169, 0.108131, 0.220229
0.490169, 0.089927, 0.228975
0.490169, 0.104388, 0.238743
0.505044, 0.104552, 0.251963
0.505044, 0.097135, 0.264342
0.528932, 0.104142, 0.277586
0.528932, 0.131621, 0.288414
0.528932, 0.125518, 0.298531
0.528932, 0.122041, 0.306008
0.528932, 0.136226, 0.316158
0.510277, 0.152365, 0.327956
0.510277, 0.138473, 0.336730
0.528332, 0.149065, 0.342894
0.528332, 0.143585, 0.349010
0.528332, 0.187782, 0.356205
0.540446, 0.177645, 0.366261
0.566928, 0.203642, 0.377380
0.588197, 0.207733, 0.381298
0.590490, 0.203082, 0.390097
0.615168, 0.148738, 0.397355
0.615168, 0.193089, 0.404797
0.623689, 0.191618, 0.409860
0.623689, 0.219958, 0.412897
0.632305, 0.189494, 0.418450
0.633345, 0.220107, 0.426697
0.633345, 0.221003, 0.436869
0.643120, 0.214213, 0.446146
0.644174, 0.265793, 0.453852
0.666638, 0.265619, 0.458832
0.701693, 0.259275, 0.466620
0.701693, 0.259275, 0.466620
0.701693, 0.185693, 0.474371
0.701693, 0.214505, 0.480563
0.701693, 0.238255, 0.489275
0.701693, 0.290387, 0.498379
0.704334, 0.322592, 0.507526
0.704334, 0.265100, 0.512682
0.704334, 0.291691, 0.516641
0.704334, 0.296764, 0.524328
0.704334, 0.283937, 0.531766
0.707361, 0.297711, 0.534541
0.711921, 0.263893, 0.539066
0.723424, 0.329322, 0.546085
0.723424, 0.273857, 0.550406
0.723424, 0.297901, 0.556568
0.723424, 0.321784, 0.563589
0.723424, 0.332832, 0.566937
0.724969, 0.337629, 0.572011
0.726904, 0.343118, 0.579348
0.730009, 0.360015, 0.582431
0.730009, 0.349109, 0.586449
0.733904, 0.355839, 0.593074
0.733904, 0.287978, 0.598333
0.735076, 0.377571, 0.604457
0.751242, 0.346746, 0.609018
0.751242, 0.347389, 0.610152
0.751242, 0.372098, 0.612708
0.751242, 0.327885, 0.613368
0.751242, 0.367586, 0.616090
0.751242, 0.367586, 0.618316
0.751242, 0.387071, 0.617885
0.751242, 0.374827, 0.626979
0.751242, 0.388711, 0.628998
0.751242, 0.377113, 0.630819
0.755228, 0.377342, 0.632040
0.755228, 0.326657, 0.633693
0.768906, 0.412764, 0.636378
0.768906, 0.385202, 0.638988
0.768906, 0.368035, 0.641393
0.768906, 0.371192, 0.645088
0.768906, 0.444489, 0.647940
0.768906, 0.423214, 0.650451
0.773781, 0.428011, 0.652327
0.773781, 0.451591, 0.656915
0.773781, 0.403488, 0.659844
0.773781, 0.425986, 0.660804
0.784016, 0.412764, 0.663629
0.784016, 0.433107, 0.666461
0.784016, 0.407861, 0.665494
0.784016, 0.415481, 0.667219
0.784016, 0.409816, 0.669464
0.784016, 0.421458, 0.671076
0.784016, 0.430044, 0.672093
0.784016, 0.452651, 0.673576
0.784016, 0.434645, 0.673262
0.784016, 0.445274, 0.675825
0.784016, 0.483703, 0.677702
0.784016, 0.475371, 0.677986
0.784016, 0.480634, 0.680869
0.784839, 0.377801, 0.685271
0.785251, 0.459320, 0.684226
0.784016, 0.491867, 0.684606
0.784016, 0.392009, 0.686679
0.789795, 0.468243, 0.689317
0.784016, 0.453978, 0.690556
0.785251, 0.472070, 0.692176
0.785251, 0.401797, 0.693789
