Network: mnist-bpga-mlp
Input, shape:[28,28], parameters: 0, memory:3.1 KB
Dense(ReLU), shape:[64], parameters:50240, memory:392.5 KB
Dense(softmax), shape:[10], parameters:650, memory:5.1 KB

Mutation probability: 0.2
Learning rate: 0.5

SEED=48
1 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
2 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
3 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
4 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
5 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
6 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
7 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
8 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
9 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
10 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
11 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
12 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
13 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
14 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
15 epochs, accuracy: training=0.11356, validation=0.1064, test=0.1135
Total values needed to encode all trainable parameters: 50890


Seed: 48
----------

Crossover: Full+Some+Uniform, learning rate: 0.5, mutation epochs: 5
evolving 80 members for 140 generations...
Generation  59, time: 2m 18s, fitness max: 0.828500, min: 0.338200, mean: 0.565169
Generation  60, time: 1m 39s, fitness max: 0.828500, min: 0.342100, mean: 0.547404
Generation  61, time: 1m 54s, fitness max: 0.828500, min: 0.359400, mean: 0.550847
Generation  62, time: 1m 48s, fitness max: 0.828500, min: 0.301500, mean: 0.562105
Generation  63, time: 2m 24s, fitness max: 0.828500, min: 0.299700, mean: 0.565427
Generation  64, time: 2m 20s, fitness max: 0.832500, min: 0.397400, mean: 0.568785
Generation  65, time: 2m 13s, fitness max: 0.832500, min: 0.342800, mean: 0.578735
Generation  66, time: 1m 38s, fitness max: 0.832500, min: 0.327100, mean: 0.575991
Generation  67, time: 1m 50s, fitness max: 0.832500, min: 0.387100, mean: 0.580264
Generation  68, time: 1m 22s, fitness max: 0.832500, min: 0.390200, mean: 0.576959
Generation  69, time: 1m 37s, fitness max: 0.832500, min: 0.354100, mean: 0.584964
Generation  70, time: 67.53s, fitness max: 0.832500, min: 0.279400, mean: 0.581281
Generation  71, time: 2m 23s, fitness max: 0.841100, min: 0.377900, mean: 0.579311
Generation  72, time: 1m 44s, fitness max: 0.841100, min: 0.351800, mean: 0.577562
Generation  73, time: 1m 44s, fitness max: 0.841100, min: 0.322200, mean: 0.578148
Generation  74, time: 2m 31s, fitness max: 0.841100, min: 0.372000, mean: 0.579849
Generation  75, time: 2m 16s, fitness max: 0.841100, min: 0.368200, mean: 0.572692
Generation  76, time: 2m 33s, fitness max: 0.841100, min: 0.334100, mean: 0.561413
Generation  77, time: 1m 51s, fitness max: 0.841100, min: 0.309300, mean: 0.550289
Generation  78, time: 2m 05s, fitness max: 0.841100, min: 0.376300, mean: 0.547601
Generation  79, time: 2m 05s, fitness max: 0.841100, min: 0.273500, mean: 0.551401
Generation  80, time: 1m 59s, fitness max: 0.841100, min: 0.279600, mean: 0.550915
Generation  81, time: 3m 14s, fitness max: 0.841100, min: 0.365400, mean: 0.561447
Generation  82, time: 2m 08s, fitness max: 0.841100, min: 0.295600, mean: 0.555739
Generation  83, time: 1m 38s, fitness max: 0.841100, min: 0.337900, mean: 0.550731
Generation  84, time: 2m 11s, fitness max: 0.841100, min: 0.264700, mean: 0.553295
Generation  85, time: 1m 27s, fitness max: 0.844100, min: 0.364800, mean: 0.565332
Generation  86, time: 2m 05s, fitness max: 0.844100, min: 0.368300, mean: 0.567101
Generation  87, time: 2m 36s, fitness max: 0.844100, min: 0.363500, mean: 0.572093
Generation  88, time: 2m 01s, fitness max: 0.844100, min: 0.387000, mean: 0.580689
Generation  89, time: 1m 52s, fitness max: 0.844100, min: 0.280700, mean: 0.564173
Generation  90, time: 2m 20s, fitness max: 0.844100, min: 0.379200, mean: 0.561385
Generation  91, time: 1m 52s, fitness max: 0.844100, min: 0.366600, mean: 0.550167
Generation  92, time: 2m 05s, fitness max: 0.844100, min: 0.346100, mean: 0.533587
Generation  93, time: 2m 03s, fitness max: 0.844100, min: 0.382000, mean: 0.548929
Generation  94, time: 2m 26s, fitness max: 0.844100, min: 0.381400, mean: 0.554969
Generation  95, time: 2m 31s, fitness max: 0.844100, min: 0.274000, mean: 0.555871
Generation  96, time: 1m 44s, fitness max: 0.844100, min: 0.354700, mean: 0.561562
Generation  97, time: 2m 13s, fitness max: 0.844100, min: 0.351200, mean: 0.552909
Generation  98, time: 3m 15s, fitness max: 0.844100, min: 0.407600, mean: 0.568744
Generation  99, time: 2m 01s, fitness max: 0.844100, min: 0.323100, mean: 0.552353
Generation 100, time: 1m 40s, fitness max: 0.844100, min: 0.308700, mean: 0.547909
Generation 101, time: 2m 13s, fitness max: 0.844100, min: 0.284100, mean: 0.556227
Generation 102, time: 2m 14s, fitness max: 0.844100, min: 0.411500, mean: 0.563544
