Network: c10-bpga-cnn
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,32] (k:5,s:1,pad:no), parameters:2400, memory:116.8 KB
Maxpool2D shape:[14,14,32] (k:2,s:2), parameters:0, memory:24.5 KB
Dropout, ratio:0.25, shape:[14,14,32], parameters:0, memory:24.5 KB
Conv2D(ReLU), shape:[12,12,64] (k:3,s:1,pad:no), parameters:18432, memory:180.0 KB
Maxpool2D shape:[6,6,64] (k:2,s:2), parameters:0, memory:9.0 KB
Dropout, ratio:0.25, shape:[6,6,64], parameters:0, memory:9.0 KB
Conv2D(ReLU), shape:[4,4,128] (k:3,s:1,pad:no), parameters:73728, memory:584.0 KB
Maxpool2D shape:[2,2,128] (k:2,s:2), parameters:0, memory:2.0 KB
Dense(ReLU), shape:[128], parameters:65664, memory:513.0 KB
Dense(softmax), shape:[10], parameters:1290, memory:10.1 KB

Mutation probability: 0.2
Learning rate: 0.0005

SEED=48
epochs: 455, accuracy (validation - test): 0.7498 , 0.7503
epochs: 460, accuracy (validation - test): 0.7446 , 0.7454
epochs: 465, accuracy (validation - test): 0.7492 , 0.7495
epochs: 470, accuracy (validation - test): 0.7586 , 0.7495
epochs: 475, accuracy (validation - test): 0.7518 , 0.7491
epochs: 480, accuracy (validation - test): 0.7458 , 0.7411
epochs: 485, accuracy (validation - test): 0.7548 , 0.7495
epochs: 490, accuracy (validation - test): 0.7543 , 0.7537
epochs: 495, accuracy (validation - test): 0.7525 , 0.7499
epochs: 500, accuracy (validation - test): 0.7509 , 0.7474
epochs: 505, accuracy (validation - test): 0.7525 , 0.7476
epochs: 510, accuracy (validation - test): 0.7533 , 0.7515
epochs: 515, accuracy (validation - test): 0.7511 , 0.744
epochs: 520, accuracy (validation - test): 0.7438 , 0.7413
epochs: 525, accuracy (validation - test): 0.7518 , 0.7468
epochs: 530, accuracy (validation - test): 0.7517 , 0.7449
epochs: 535, accuracy (validation - test): 0.7536 , 0.7481
