Network: c10-bpga-mlp
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Dense(ReLU), shape:[256], parameters:786688, memory:6.0 MB
Dense(ReLU), shape:[128], parameters:32896, memory:257.0 KB
Dense(softmax), shape:[10], parameters:1290, memory:10.1 KB

Learning rate: 0.001

BP only (MLP), best validation set accuracy=0.5232 (165 epochs)

BP only (MLP), best test set accuracy=0.5209 (150 epochs)
Total values needed to encode all trainable parameters: 820874
Evolving 50 members for 200 generations...
Generation  69, time: 24m 54s, fitness max: 0.487700, min: 0.175800, mean: 0.419646
Generation  70, time: 20m 00s, fitness max: 0.489300, min: 0.197300, mean: 0.395960
Generation  71, time: 24m 54s, fitness max: 0.489300, min: 0.148400, mean: 0.407862
Generation  72, time: 24m 55s, fitness max: 0.489300, min: 0.264100, mean: 0.415694
Generation  73, time: 12m 38s, fitness max: 0.489300, min: 0.178300, mean: 0.370652
Generation  74, time: 15m 04s, fitness max: 0.489300, min: 0.187700, mean: 0.403576
Generation  75, time: 22m 28s, fitness max: 0.489300, min: 0.183500, mean: 0.393984
Generation  76, time: 32m 19s, fitness max: 0.489300, min: 0.177600, mean: 0.401156
Generation  77, time: 24m 56s, fitness max: 0.489300, min: 0.146900, mean: 0.391738
Generation  78, time: 44m 40s, fitness max: 0.489300, min: 0.176600, mean: 0.428288
Generation  79, time: 15m 05s, fitness max: 0.489300, min: 0.205700, mean: 0.392412
Generation  80, time: 19m 59s, fitness max: 0.489300, min: 0.166700, mean: 0.401590
Generation  81, time: 17m 34s, fitness max: 0.489300, min: 0.181500, mean: 0.381996
Generation  82, time: 39m 41s, fitness max: 0.489300, min: 0.153500, mean: 0.409332
Generation  83, time: 34m 47s, fitness max: 0.489300, min: 0.160100, mean: 0.413314
Generation  84, time: 20m 01s, fitness max: 0.489300, min: 0.193200, mean: 0.395998
Generation  85, time: 27m 24s, fitness max: 0.489300, min: 0.180700, mean: 0.396578
Generation  86, time: 29m 53s, fitness max: 0.489300, min: 0.159600, mean: 0.420850
Generation  87, time: 32m 20s, fitness max: 0.490400, min: 0.222300, mean: 0.424686
Generation  88, time: 34m 47s, fitness max: 0.490400, min: 0.150500, mean: 0.403956
Generation  89, time: 24m 55s, fitness max: 0.490400, min: 0.234600, mean: 0.406698
Generation  90, time: 20m 00s, fitness max: 0.490400, min: 0.160600, mean: 0.412772
Generation  91, time: 20m 01s, fitness max: 0.490400, min: 0.198500, mean: 0.401428
Generation  92, time: 20m 01s, fitness max: 0.490400, min: 0.198300, mean: 0.389096
Generation  93, time: 27m 23s, fitness max: 0.490400, min: 0.171600, mean: 0.386222
Generation  94, time: 17m 33s, fitness max: 0.490700, min: 0.139400, mean: 0.391498
Generation  95, time: 20m 00s, fitness max: 0.491500, min: 0.149500, mean: 0.399170
