CPU: [11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz]
12 threads with OpenMP
Training data: (40000,3072) 468.8 MB
Validation data: (10000,3072) 117.2 MB
Testing data: (10000,3072) 117.2 MB

Network: cifar10cnn-student
Input, shape:[32,32,3], parameters: 0, memory:12.0 KB
Conv2D(ReLU), shape:[28,28,8] (k:5,s:1,pad:no), parameters:600, memory:29.2 KB
Maxpool2D shape:[14,14,8] (k:2,s:2), parameters:0, memory:6.1 KB
Conv2D(ReLU), shape:[12,12,16] (k:3,s:1,pad:no), parameters:1152, memory:18.0 KB
Maxpool2D shape:[6,6,16] (k:2,s:2), parameters:0, memory:2.2 KB
Conv2D(ReLU), shape:[4,4,32] (k:3,s:1,pad:no), parameters:4608, memory:38.0 KB
Maxpool2D shape:[2,2,32] (k:2,s:2), parameters:0, memory:512 bytes
Dense(ReLU), shape:[64], parameters:8256, memory:64.5 KB
Dense(Softmax), shape:[10], parameters:650, memory:5.1 KB

Training...
epoch: 52, time: 7.69 secs (speed 5569.6), loss (CCE): 29722.1426, validation accuracy: 0.6260
epoch: 53, time: 7.62 secs (speed 5587.8), loss (CCE): 29595.8887, validation accuracy: 0.6315
epoch: 54, time: 7.70 secs (speed 5557.7), loss (CCE): 29437.8984, validation accuracy: 0.6431
epoch: 55, time: 7.02 secs (speed 6113.4), loss (CCE): 29338.4629, validation accuracy: 0.6302
epoch: 56, time: 6.89 secs (speed 6279.1), loss (CCE): 29153.4805, validation accuracy: 0.6363
epoch: 57, time: 6.88 secs (speed 6268.4), loss (CCE): 29040.4785, validation accuracy: 0.6360
epoch: 58, time: 6.84 secs (speed 6286.7), loss (CCE): 28863.2129, validation accuracy: 0.6409
epoch: 59, time: 6.86 secs (speed 6271.5), loss (CCE): 28738.8398, validation accuracy: 0.6463
epoch: 60, time: 6.89 secs (speed 6259.4), loss (CCE): 28666.2480, validation accuracy: 0.6471
epoch: 61, time: 6.83 secs (speed 6298.2), loss (CCE): 28381.1035, validation accuracy: 0.6413
epoch: 62, time: 6.88 secs (speed 6281.9), loss (CCE): 28318.8105, validation accuracy: 0.6314
epoch: 63, time: 7.14 secs (speed 5982.5), loss (CCE): 28302.7227, validation accuracy: 0.6419
epoch: 64, time: 6.91 secs (speed 6245.1), loss (CCE): 28122.2793, validation accuracy: 0.6504
epoch: 65, time: 7.26 secs (speed 5923.5), loss (CCE): 27944.2930, validation accuracy: 0.6475
epoch: 66, time: 7.37 secs (speed 5740.3), loss (CCE): 27819.6641, validation accuracy: 0.6349
epoch: 67, time: 7.05 secs (speed 6072.4), loss (CCE): 27770.6504, validation accuracy: 0.6375
epoch: 68, time: 6.89 secs (speed 6264.8), loss (CCE): 27668.6074, validation accuracy: 0.6411
epoch: 69, time: 7.03 secs (speed 6148.1), loss (CCE): 27501.4863, validation accuracy: 0.6403
epoch: 70, time: 7.77 secs (speed 5495.9), loss (CCE): 27397.9160, validation accuracy: 0.6388
epoch: 71, time: 6.92 secs (speed 6231.4), loss (CCE): 27324.1484, validation accuracy: 0.6388
epoch: 72, time: 6.94 secs (speed 6190.2), loss (CCE): 27137.6836, validation accuracy: 0.6412
epoch: 73, time: 6.85 secs (speed 6289.8), loss (CCE): 26961.0879, validation accuracy: 0.6320
epoch: 74, time: 7.39 secs (speed 5798.2), loss (CCE): 26890.6797, validation accuracy: 0.6382
epoch: 75, time: 7.31 secs (speed 5942.3), loss (CCE): 26835.7617, validation accuracy: 0.6410
epoch: 76, time: 6.88 secs (speed 6270.2), loss (CCE): 26615.0176, validation accuracy: 0.6396
epoch: 77, time: 6.86 secs (speed 6272.1), loss (CCE): 26569.6914, validation accuracy: 0.6361
epoch: 78, time: 6.89 secs (speed 6260.2), loss (CCE): 26528.0820, validation accuracy: 0.6337
epoch: 79, time: 6.85 secs (speed 6283.5), loss (CCE): 26380.2051, validation accuracy: 0.6398
epoch: 80, time: 6.95 secs (speed 6224.4), loss (CCE): 26301.9102, validation accuracy: 0.6391
epoch: 81, time: 6.87 secs (speed 6259.5), loss (CCE): 26309.1465, validation accuracy: 0.6398
epoch: 82, time: 6.94 secs (speed 6227.5), loss (CCE): 26175.6387, validation accuracy: 0.6400
epoch: 83, time: 6.91 secs (speed 6223.6), loss (CCE): 26040.3145, validation accuracy: 0.6375
epoch: 84, time: 6.91 secs (speed 6235.8), loss (CCE): 26013.1328, validation accuracy: 0.6308
epoch: 85, time: 6.88 secs (speed 6266.1), loss (CCE): 25813.6953, validation accuracy: 0.6390
epoch: 86, time: 6.88 secs (speed 6254.9), loss (CCE): 25739.1543, validation accuracy: 0.6322
epoch: 87, time: 7.39 secs (speed 5746.8), loss (CCE): 25761.2734, validation accuracy: 0.6312
